category,text
tech,tv future hand viewer home theatre system plasma high definition tv digital video recorder move living room way people watch tv radically different five year time accord expert panel gather annual consumer electronics show la vega discus new technology impact one favourite pastime u lead trend programme content deliver viewer via home network cable satellite telecom company broadband service provider front room portable device one talk technology ce digital personal video recorder dvr pvr set top box like u tivo uk sky system allow people record store play pause forward wind tv programme want essentially technology allows much personalise tv also built high definition tv set big business japan u slow take europe lack high definition program people forward wind advert also forget abide network channel schedule put together la carte entertainment u network cable satellite company worried mean term advertising revenue well brand identity viewer loyalty channel although u lead technology moment also concern raise europe particularly grow uptake service like sky happens today see nine month year time uk adam hume bbc broadcast futurologist told bbc news website like bbc issue lose advertising revenue yet press issue moment commercial uk broadcaster brand loyalty important everyone talk content brand rather network brand say tim hanlon brand communication firm starcom mediavest reality broadband connection anybody producer content add challenge hard promote programme much choice mean say stacey jolna senior vice president tv guide tv group way people find content want watch simplify tv viewer mean network u term channel could take leaf google book search engine future instead scheduler help people find want watch kind channel model might work young ipod generation use take control gadget play might suit everyone panel recognise old generation comfortable familiar schedule channel brand know get perhaps want much choice put hand mr hanlon suggest end kid diaper push button already everything possible available say mr hanlon ultimately consumer tell market want 50 000 new gadget technology showcased ce many enhance tv watch experience high definition tv set everywhere many new model lcd liquid crystal display tv launch dvr capability built instead external box one example launch show humax 26 inch lcd tv 80 hour tivo dvr dvd recorder one u big satellite tv company directtv even launch brand dvr show 100 hour record capability instant replay search function set pause rewind tv 90 hour microsoft chief bill gate announce pre show keynote speech partnership tivo call tivotogo mean people play record programme window pc mobile device reflect increase trend free multimedia people watch want want
business,worldcom bos left book alone former worldcom bos bernie ebbers accuse oversee 11bn 5 8bn fraud never make accounting decision witness told juror david myers make comment question defence lawyer argue mr ebbers responsible worldcom problem phone company collapse 2002 prosecutor claim loss hidden protect firm share mr myers already plead guilty fraud assist prosecutor monday defence lawyer reid weingarten try distance client allegation cross examination ask mr myers ever knew mr ebbers make accounting decision aware mr myers reply ever know mr ebbers make accounting entry worldcom book mr weingarten press reply witness mr myers admit order false accounting entry request former worldcom chief financial officer scott sullivan defence lawyer try paint mr sullivan admit fraud testify later trial mastermind behind worldcom accounting house card mr ebbers team meanwhile look portray affable bos admission pe graduate economist whatever ability mr ebbers transform worldcom relative unknown 160bn telecom giant investor darling late 1990s worldcom problem mount however competition increase telecom boom petered firm finally collapse shareholder lose 180bn 20 000 worker lose job mr ebbers trial expect last two month found guilty former ceo face substantial jail sentence firmly declare innocence
sport,tiger wary farrell gamble leicester say rush make bid andy farrell great britain rugby league captain decide switch code anybody else involve process still way away go next stage tiger bos john well told bbc radio leicester moment still lot unknown andy farrell least medical situation whoever take go take big big gamble farrell persistent knee problem operation knee five week ago expect another three month leicester saracen believe head list rugby union club interested signing farrell decides move 15 man game move across union well believe would well play back least initially sure could make step league union involve centre say well think england would prefer progress position back row make use rugby league skill within forward jury whether cross divide club balance struck cost gamble option bring ready make replacement
sport,yeading face newcastle fa cup premiership side newcastle united face trip ryman premier league leader yeading fa cup third round game arguably highlight draw potential money spinner non league yeading beat slough second round conference side exeter city knock doncaster saturday travel old trafford meet holder manchester united january arsenal drawn home stoke chelsea play host scunthorpe non league side draw hinckley united held brentford goalless draw sunday meet league one leader luton win replay martin allen team griffin park number premiership team face difficult away game championship side weekend 8 9 january third place everton visit plymouth liverpool travel burnley crystal palace go sunderland fulham face carling cup semi finalist watford bolton meet ipswich aston villa drawn sheffield united premiership struggler norwich blackburn west brom away west ham cardiff preston north end respectively southampton visit northampton already beaten league two side carling cup earlier season middlesbrough drawn away either swindon notts county spur entertain brighton white hart lane arsenal v stoke swindon notts co v middlesbrough man utd v exeter plymouth v everton leicester v blackpool derby v wigan sunderland v crystal palace wolf v millwall yeading v newcastle hull v colchester tottenham v brighton reading v stockport swansea birmingham v leeds hartlepool v boston milton keynes don v peterborough oldham v man city chelsea v scunthorpe cardiff v blackburn charlton v rochdale west ham v norwich sheff utd v aston villa preston v west brom rotherham v yeovil burnley v liverpool bournemouth v chester coventry v crewe watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v hinckley brentford match played weekend 8 9 january
entertainment,ocean twelve raid box office ocean twelve crime caper sequel star george clooney brad pitt julia robert go straight number one u box office chart take 40 8m 21m weekend ticket sale accord studio estimate sequel follow master criminal try pull three major heist across europe knock last week number one national treasure third place wesley snipe blade trinity second take 16 1m 8 4m round top five animate fable polar express star tom hank festive comedy christmas kranks ocean twelve box office triumph mark fourth big opening december release u three film lord ring trilogy sequel narrowly beat 2001 predecessor ocean eleven take 38 1m 19 8m opening weekend 184m 95 8m total remake 1960s film star frank sinatra rat pack ocean eleven direct oscar win director steven soderbergh soderbergh return direct hit sequel reunites clooney pitt robert matt damon andy garcia elliott gould catherine zeta jones join star cast fun good holiday movie say dan fellman president distribution warner bros however u critic less complimentary 110m 57 2m project los angeles time label dispirit vanity project milder review new york time dubbed sequel unabashedly trivial
politics,howard hit back mongrel jibe michael howard say claim peter hain tory leader act like attack mongrel show labour rattle opposition upbeat speech party spring conference brighton say labour campaign tactic prove tory hit home mr hain make claim tory tactic anti terror bill debate something tell someone somewhere little bit rattle mr howard say mr hain leader common told bbc radio four today programme mr howard stance government anti terrorism legislation put country risk accuse tory leader behaving like attack mongrel play opposition opposition sake mr howard told party labour would anything say anything claim anything cling office cost far year compare fagin shylock fly pig morning peter hain even call mongrel know something tell someone somewhere little bit rattle environment secretary margaret beckett reject mr howard comment tell radio 4 pm programme labour rattle real duty try get people focus michael howard record proposal try put forward country also many example see believe really poor judgement behalf mr howard say tory policy school tax immigration crime strike chord voter since begin year election year make political weather told party conference mr howard deny play politics raise case margaret dixon whose operation cancel seven time grabbed headline party two week ago hit back labour claim use mr dixon human shield human shield mr blair human mr howard say party plan immigration quota also focus much medium coverage racist common sense pledge cleaner hospital well school discipline promise get rid political correctness national curriculum give everyone chance decent state education come ordinary family teenage michael howard apply cambridge today gordon brown would love stress party commitment cut tax red tape increase basic state pension line earnings finish personal appeal party activist go win next election one day able tell child grandchild tell mine bit played part help win famous election election transform country well labour election co ordinator alan milburn say michael howard speech today confirms always say strategy opportunism forward vision country reference appearance mr howard family conference stage mr milburn say michael howard perfectly entitle pose family today hard work family across britain damage plan cut 35bn public spending
politics,blair prepares name poll date tony blair likely name 5 may election day parliament return easter break bbc political editor learn andrew marr say mr blair ask queen 4 5 april dissolve parliament end week mr blair far resist call name day party step campaign recently down street would drawn claim say election timing matter prime minister number 10 spokeswoman would say announce election want announce election move signal frantic week westminster government likely try get key legislation parliament government need finance bill cover budget plan pass common close business end session 7 april also seek push serious organise crime bill id card bill mr marr say wednesday today programme almost nobody senior level inside government parliament expect election call 4 5 april soon common back short easter recess tony blair whip palace asks queen dissolve parliament go labour government officially june 2006 hold general election recent year government favour four year term
sport,henman hope end dubai third seed tim henman slump straight set defeat rain interrupt dubai open quarter final ivan ljubicic croatian eighth seed book place last four 7 5 6 4 victory british number one henman look course level match go 2 0 second set progress halt rain intervene ljubicic hit back break seal fourth straight win henman earlier day spanish fifth seed tommy robredo secure semi final place beat nicolas kiefer germany 6 4 6 4 afterwards henman left curse weather umpire seven break rain match incredibly frustrate henman say rain umpire take control kept tell u play till end game rain come score irrelevant frustrate happy form expect desert
sport,wilkinson fit face edinburgh england captain jonny wilkinson make long await return injury edinburgh saturday wilkinson played since injure bicep 17 october take part full contact training newcastle falcon wednesday 25 year old fly half start saturday heineken cup match murrayfield bench newcastle director rugby rob andrew say fine hope get game stage 25 year old miss england autumn international aggravate haematoma upper right arm saracen subsequently replace england captain full back jason robinson sale charlie hodgson take number 10 shirt international canada south africa australia wilkinson year disrupt injury muscle problem follow eight month sideline shoulder injury sustain world cup final
entertainment,last star war child sixth final star war movie may suitable young child film maker george lucas say told u tv show 60 minute revenge sith would darkest violent series think would take five six year old told cbs programme air sunday lucas predict film would get u rating advise parent scene may unsuitable 13 open uk u 19 may say expect film would classify pg 13 roughly equivalent british 12a rating five previous star war film carry less restrictive pg parental guidance rating u uk pass u suitable exception attack clone get pg rating 2002 revenge sith third prequel original 1977 star war film chronicle transformation heroic anakin skywalker evil darth vader travel hell like planet compose erupt volcano molten lava go watch make pact devil lucas say film much dark emotional much tragedy
